United States Department of Defense
NASA
National Science Foundation
Environmental Protection Agency Office of Research and Development
Intelligence Advanced Research Projects Activity
Smithsonian Institution research centers and programs
Agricultural Research Service
National Institute of Food and Agriculture
Economic Research Service
United States Forest Service Research and Development
National Institute of Standards and Technology
National Oceanic and Atmospheric Administration
Air Force Research Laboratory
Air Force Life Cycle Management Center
Air Force Nuclear Weapons Center
Air Force Institute of Technology
Army Research
Development and Engineering Command
Army Medical Research and Materiel Command
Engineer Research and Development Center
Army Research Lab
Office of Naval Research
Naval Research Laboratory
Naval Medical Research Center
Naval Warfare Centers Air
Defense Advanced Research Projects Agency
Institute of Education Sciences
National Institute on Disability and Rehabilitation Research
Office of Science
Advanced Research Projects Agency-Energy
National Laboratories
Health and Human Services
National Institutes of Health
National Institute for Occupational Safety and Health
Homeland Security
Directorate for Science and Technology
Coast Guard Research & Development Center
United States Geological Survey
National Institute of Justice
Veterans Health Administration Office of Research and Development
Federal Judicial Center
Office of Science and Technology Policy
